app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date
289,1,0,05-May-20,1,SO,19,2,R,.,.,.,.,.,.,.,.,.,0.120750077,67.140625,.,0,.,5,-1,26/02/2035
-310,.,.,05-May-20,0,SF,18,1,P,1,6600,4,2,130,.,10,.,0,0.01602155,78.296875,2,1,0,3,2,26/02/2035
308,1,0,05-May-20,0,SM,23,5,R,.,100,13,2,0,.,3,.,.,0,35.234375,1,2,684,3,-1,26/02/2035
283,1,0,05-May-20,1,SL,26,99999,P,1,3200,6,3,0,.,9,5,1735,0.049869619,56.9296875,1,2,960,3,1,26/02/2035
-317,.,.,05-May-20,1,SD,20,0,P,1,2450,2,.,1,26,3,22,.,0.186374583,55.5625,1,0,.,5,1,26/02/2035
315,1,0,05-May-20,1,SO,19,0,P,1,.,5,2,89,12,2,16,.,0.095434585,75.90625,.,0,0,3,-1,26/02/2035
304,1,0,05-May-20,0,SF,18,0,P,1,.,2,.,25,.,0,.,.,0.068286994,24.45703125,1,0,.,5,0,26/02/2035
291,0,1,05-May-20,0,SA,20,2,R,.,.,.,.,.,.,.,.,.,0.063838421,79.234375,.,0,.,5,-1,26/02/2035
307,1,0,05-May-20,2,SA,21,1,P,.,.,44,1,.,.,2,.,.,0.091614693,37.7890625,.,0,0,3,-1,26/02/2035
286,1,0,05-May-20,0,SB,18,.,P,.,.,53,1,.,9,0,13,.,0.423238548,31.06640625,.,0,0,3,-1,26/02/2035
-303,.,.,05-May-20,300,SL,33,0,R,.,.,34,1,.,.,.,.,.,0.002715771,23.74609375,1,0,0,3,1,26/02/2035
295,1,0,05-May-20,400,FT,44,.,R,.,2100,28,.,0,.,.,.,1210,0.108848334,48.375,.,0,.,5,-1,26/02/2035
-296,.,.,05-May-20,1,SL,27,3,,.,2250,70,2,.,.,0,.,713,0.442131891,57.125,1,1,1819,3,4,26/02/2035
-282,.,.,05-May-20,1,SA,33,0,R,1,.,3,1,160,.,0,.,.,0.082145614,48.53125,2,0,0,3,0,26/02/2035
343,0,1,06-May-20,0,SC,18,0,P,.,.,.,.,.,.,.,9,.,0,34.203125,.,0,.,5,-1,27/02/2035
-346,.,.,06-May-20,10,SO,17,.,P,.,.,.,.,.,10,.,15,.,0.079748106,66.328125,.,0,.,5,-1,27/02/2035
-323,.,.,06-May-20,0,SO,17,.,P,1,150,1,.,.,3,.,23,.,0.075774368,80.609375,.,0,.,5,-1,27/02/2035
-337,.,.,06-May-20,0,SC,19,0,P,.,100,18,1,.,11,1,23,.,0,60.671875,1,1,121,3,3,27/02/2035
-330,.,.,06-May-20,1,SN,22,0,P,.,.,7,1,90,0,0,.,.,0.271330017,57.5390625,.,0,0,3,-1,27/02/2035
-324,.,.,06-May-20,0,SA,19,0,P,.,.,31,1,.,21,0,10,.,0,20.328125,1,1,14,3,-1,27/02/2035
345,1,0,06-May-20,1,SA,21,.,P,.,.,13,.,1,3,.,13,.,0.094981908,34.2265625,.,0,.,5,-1,27/02/2035
-360,.,.,06-May-20,0,SO,23,0,R,3,250,2,2,185,.,0,.,62,0.030386195,45,5,0,.,2,0,27/02/2035
-320,.,.,06-May-20,0,SO,43,.,H,.,5150,34,1,.,.,5,.,154,0.01157138,90.078125,2,0,0,3,2,27/02/2035
341,1,0,06-May-20,1,SO,21,.,P,.,.,.,.,.,21,.,13,.,0.262221587,33.2578125,.,0,.,5,-1,27/02/2035
